pitch,roll,yaw
5.836412117719027,59.58245274368126,29.73444907157068
-0.6985418128585487,61.72912940504231,22.625524144499803
-1.2419019695488573,62.77743058137668,25.866756384720034
-0.027746057953085254,60.40087843875593,54.33944212407368
2.8341201927345137,59.33987139860883,37.07863257517435
4.814217032467158,58.1223753182889,27.320986122819612
-0.9471443825262056,52.38877588505213,15.53162131968137
8.820287869624558,50.253406239590014,18.339429607215443
5.965200301111552,46.1042785613116,22.687028409329073
3.168950970619442,41.605517696255596,24.67138935806518
-4.699600389051825,44.542080812118954,29.19875012031792
-1.610152619266581,34.00960415163363,27.029808268040973
14.046065982155433,26.831740463914933,32.608928794298954
14.555057950155394,27.79089129895015,33.751800000954844
15.296027941052051,25.794490906885386,37.92097669581113
8.37792139084667,25.673679405278293,36.581802664287295
6.040665515092042,24.622655988163984,36.61029569165194
-0.4224932796308614,25.402927967405873,34.66883641233761
-2.552332570538059,27.38281136364684,32.92043362651252
-2.9132213672525906,28.13093046950561,31.768439669459987
-11.6339316871531,25.476929975750213,26.124208718228505
-6.574381630972376,27.795889603986986,9.859961931139363
-14.33400041147577,27.148341681840456,-13.28898226635119
-17.747682343261893,26.41213479964226,-12.97892933280314
-21.228604742560563,21.89396491903523,-14.580475515447683
-17.14899264944451,23.689598745257435,-9.97090264442259
-17.834649831406352,15.77887383542449,-7.373624928822426
-20.0148980191382,4.098254884775127,-5.679443812346632
-35.379146109788564,2.941194425626865,-11.305640419031704
-34.322895106570044,18.056592761449203,-28.827011739926444
-48.60647369941112,79.91214896472059,-29.948025527078492
-52.336504088002094,72.72106153375758,-29.19435847314426
-50.05165898988596,76.81945024407207,-35.86001493133936
-49.0693980549742,65.19431481559464,-25.049909710723828
-53.044622519302806,63.84334188921636,-24.94437186676566
-71.66737621046292,78.27345176892597,-30.777618630101962
-69.41877511028989,84.20830703797728,-34.366540905575974
-72.4175260932975,78.28227853550987,-48.99925783286033
-50.935314653063536,70.5864653887324,-43.06406546480533
-41.514115101816095,77.38677887528455,-38.38071251648386
-43.39367336303956,77.45842866644294,-42.28789086794741
-53.74583693198681,80.80485156203632,-49.04380609097725
-53.91738641016658,76.8607491767681,-47.1680213543248
-52.584172174334256,69.58402215067059,-52.149699110373156
-73.07970900833365,63.46397655030238,-85.1246798471209
-81.65767349034786,50.9290524402578,-91.08378086257343
-85.33946183623497,37.766854412933334,-98.66797324342306
-94.81246766259339,31.45224646019639,-99.57968694651082
-87.36449816025012,21.761022935053344,-69.03701768577552
-76.3552342376846,18.523018895487095,-59.045362710274425
-85.11849410846102,14.678583095064882,-69.28335697077502
-93.69750985783058,12.196553765762381,-64.5504338579635
-94.8983647242432,8.822113270390835,-68.21786870746891
-96.14995494378432,12.500019211723693,-69.76389751711305
-102.53604257432974,10.729736375585547,-63.39587605283541
-99.97364444093776,7.370974730219761,-55.109797923710815
-90.13054469282898,3.924553848287096,-59.58299313125877
-104.58639197595282,2.740344326616942,-50.64812271035132
-108.03121403068192,8.693846069508,-61.47869207159533
-119.3483856876655,5.080600776356357,-54.69241263910171
-122.2762125805418,2.269279797394069,-47.29839258638418
-125.68024400196134,-3.5801679546347653,-47.17919501609153
-120.12768067476465,-7.413842850069106,-36.45326959629054
-85.63903092074695,-14.646936233713516,-49.01391610681402
-78.85841786223827,-12.698285556607862,-67.9721808003023
-84.05500209412777,3.503534719325322,-74.18968716459105
-70.88832003207467,1.6660515914280376,-73.98855450824797
-80.63306990940639,6.055689215611397,-71.86821238739836
-82.03410062457927,11.92980105404916,-75.01877755055355
-73.67675868150565,8.689811077322698,-66.20266653355257
-82.27783513309778,8.276404660834201,-69.05483793076377
-86.56946618793144,6.4929290978554635,-81.41583322629513
-100.53975689179165,6.282210397660374,-78.23166268528783
-103.14991863661557,11.907183929723647,-104.86344163657492
-98.03689628695845,13.593522545606517,-83.88574736677796
-99.54622165160843,16.823007156492196,-89.10493391726683
-94.73891605269067,13.406492991153645,-83.33002683856368
-140.84462750540774,11.627583158863196,-73.72628849088547
-123.75430307591081,4.642241695912588,-68.88413490206928
-128.85865333352294,-7.267773471716126,-55.55067769081953
