,speed,kmh,yaw,rad,pirad,Fuzzy Value
0,speed,kmh,yaw,rad,pirad,0.0
1,5.29E+00,19.04399986,15.74358157,0.274757095,0.08750226,0.5
2,5.70E+00,20.51999931,-0.51187089,-0.008933174,-0.00284496,0.4999999999999999
3,5.78E+00,20.80800076,2.525328649,0.044072053,0.014035686,0.4999999999999999
4,6.47E+00,23.29199924,3.082381882,0.05379375,0.017131768,0.4999999999999999
5,6.13E+00,22.06800041,-4.93660028,-0.086153583,-0.027437447,0.4999999999999999
6,6.11E+00,21.99600048,-27.25014774,-0.475569769,-0.15145534,0.4999999999999999
7,6.03E+00,21.70800076,-84.78372384,-1.47964614,-0.471224885,0.4999999999999999
8,6.10E+00,21.95999966,-86.56083261,-1.510660255,-0.481101992,0.4999999999999999
9,6.04E+00,21.74399986,-47.89150815,-0.835802935,-0.266179279,0.4999999999999999
10,6.28E+00,22.60800076,-33.48252823,-0.584337316,-0.186094687,0.4999999999999999
11,6.31E+00,22.71599979,-37.45701727,-0.653700127,-0.208184754,0.4999999999999999
12,6.07E+00,21.85200062,-61.42210271,-1.071938965,-0.341381836,0.4999999999999999
13,5.79E+00,43.70400122,127.7881593,2.230159848,0.71024199,0.4516832843957364
14,4.59E+00,41.65199888,126.1424473,2.201438871,0.701095182,0.44051872739322323
15,3.28E+00,40.53600083,123.1573924,2.149343672,0.684504354,0.42018673031745124
16,2.74E+00,40.10400122,122.2047388,2.132717955,0.67920954,0.4136713429106317
17,2.42E+00,39.85199888,121.2149422,2.115444017,0.673708286,0.40773543140285246
18,3.05E+00,39.41999932,121.4304722,2.119205449,0.674906194,0.4115524826633502
19,3.66E+00,39.23999863,123.6185321,2.157391485,0.687067352,0.42680090396878145
20,4.12E+00,38.77200166,124.3397041,2.169977384,0.6910756,0.43335080924899616
21,4.57E+00,37.76399917,123.1462741,2.149149635,0.684442559,0.4298360794996504
22,4.93E+00,36.57599946,121.7340234,2.124503026,0.67659332,0.4260583162930257
23,4.82E+00,35.28000069,133.8485782,2.335926321,0.74392558,0.4943130184104256
24,5.32E+00,33.83999863,125.4414594,2.189205225,0.697199116,0.5024850092956747
25,5.37E+00,32.58000069,138.1500414,2.410995487,0.767832958,0.572672495498664
26,5.63E+00,31.2480011,139.0843941,2.427301817,0.773026056,0.6221893782982377
27,5.79E+00,30.67200165,127.5879091,2.22666508,0.709129006,0.6078716578997402
28,6.03E+00,29.73600082,127.7881593,2.230159848,0.71024199,0.6375957386001755
29,6.12E+00,26.92800007,126.1424473,2.201438871,0.701095182,0.6319174293058472
30,6.14E+00,25.09199924,123.1573924,2.149343672,0.684504354,0.6216122336329138
31,6.26E+00,24.04799938,122.2047388,2.132717955,0.67920954,0.6183191811400637
32,5.81E+00,22.21200027,121.2149422,2.115444017,0.673708286,0.6148943223624164
33,6.09E+00,21.56399918,121.4304722,2.119205449,0.674906194,0.6156404258811597
34,6.18E+00,19.47599945,123.6185321,2.157391485,0.687067352,0.6232053112728362
35,5.85E+00,19.11599979,124.3397041,2.169977384,0.6910756,0.625695703680296
36,5.77E+00,18.54000034,123.1462741,2.149149635,0.684442559,0.6215738168213982
37,5.77E+00,21.6,121.7340234,2.124503026,0.67659332,0.6166909078145467
38,5.57E+00,20.84399986,133.8485782,2.335926321,0.74392558,0.6585506713171045
39,4.94E+00,22.24799938,125.4414594,2.189205225,0.697199116,0.629498572546447
40,4.35E+00,24.40800076,138.1500414,2.410995487,0.767832958,0.6734096258217596
41,3.77E+00,25.88400021,139.0843941,2.427301817,0.773026056,0.6766252229044688
42,3.52E+00,27.79199924,138.3482748,2.414455058,0.768934732,0.6740920247156974
43,3.35E+00,29.23199959,140.3849358,2.44999888,0.78025442,0.6810983567013001
44,3.53E+00,30.23999863,138.6421101,2.419583073,0.770567858,0.6636753504402703
45,4.19E+00,31.7519989,135.3311808,2.361800712,0.752165832,0.5914717144764062
46,4.03E+00,33.40799904,135.1671839,2.358938637,0.751254343,0.5395770362104595
47,4.35E+00,15.65999966,132.9187603,2.319699133,0.738757686,0.6553270834565557
48,4.52E+00,16.27199993,138.6733177,2.420127709,0.770741308,0.6752107408200304
49,4.89E+00,17.60399952,141.1600624,2.463526394,0.784562546,0.6837634671454751
50,4.95E+00,17.81999931,140.6160852,2.454032901,0.78153914,0.681893160840288
51,5.48E+00,19.72800007,140.6974041,2.455452079,0.781991108,0.6821727644556884
52,5.68E+00,20.44799938,140.3407775,2.449228229,0.78000899,0.6809465134805526
53,5.91E+00,21.27599945,139.9181364,2.441852293,0.777659966,0.6794931049215729
54,6.16E+00,22.17599945,140.0809334,2.444693428,0.778564786,0.6800529679559891
55,6.32E+00,22.75200062,137.9400822,2.407331277,0.766666012,0.6726867470887683
56,6.22E+00,22.39199924,139.0133089,2.426061237,0.772630967,0.6763806493825077
57,6.74E+00,24.26399918,129.0940034,2.252949449,0.717499824,0.6421027219276483
58,6.94E+00,24.98400021,130.8496111,2.283588326,0.727257429,0.648167088822297
59,7.20E+00,25.91999931,135.5240441,2.365166564,0.753237759,0.6643576548673317
60,7.49E+00,26.96399918,124.1685658,2.166990677,0.690124419,0.6251048175344485
