,speed,kmh,yaw,rad,pirad,Fuzzy Value
0,speed,kmh,yaw,rad,pirad,0.0
1,4.039999962,14.54399986,29.71372781,0.51881112,0.165076266,0.49999999999999994
2,4.199999809,15.11999931,22.60497571,0.394690052,0.125583198,0.5000000000000001
3,4.630000114,16.66800041,25.84657876,0.45128947,0.143592104,0.5
4,4.730000019,17.02800007,54.32799067,0.948583964,0.30182217,0.49999999999999994
5,4.739999771,17.06399918,37.06370679,0.647144087,0.205909482,0.5000000000000001
6,4.900000095,17.64000034,27.29276597,0.476540358,0.151626478,0.5000000000000001
7,5.039999962,18.14399986,15.51907826,0.270968033,0.086217101,0.5
8,5.179999828,18.64799938,18.32299502,0.31992531,0.101794417,0.4999999999999999
9,5.099999905,18.35999966,22.64730943,0.395429212,0.125818386,0.5
10,4.599999905,16.55999966,24.63382438,0.430114394,0.13685458,0.5000000000000001
11,5.300000191,19.08000069,29.16777498,0.509278611,0.162043194,0.4999999999999999
12,5.610000134,20.19600048,26.99846693,0.471401804,0.149991483,0.4999999999999999
13,5.78000021,20.80800076,32.58978834,0.56902805,0.18105438,0.4999999999999999
14,5.880000114,21.16800041,33.73160432,0.58896452,0.187397802,0.4999999999999999
15,5.900000095,21.24000034,37.89188248,0.661604297,0.210510458,0.4999999999999999
16,6.079999924,21.88799973,36.55131522,0.638197567,0.203062862,0.4999999999999999
17,5.880000114,21.16800041,36.58041111,0.638705591,0.203224506,0.4999999999999999
18,5.639999866,20.30399952,34.63675129,0.604768673,0.192426396,0.4999999999999999
19,6,21.6,32.88810139,0.574236691,0.182711674,0.4999999999999999
20,6.360000134,22.89600048,31.73562627,0.554114109,0.176309035,0.4999999999999999
21,6.409999847,23.07599945,26.08907501,0.455523532,0.144939306,0.4999999999999999
22,6.53000021,23.50800076,9.850781629,0.171997774,0.054726565,0.4999999999999999
23,6.570000172,23.65200062,-13.32660194,-0.232686701,-0.074036677,0.4999999999999999
24,6.239999771,22.46399918,-13.01496097,-0.22724535,-0.072305339,0.4999999999999999
25,5.519999981,19.87199993,-14.61701559,-0.255217733,-0.081205642,0.5
26,5.400000095,19.44000034,-9.988673699,-0.174405414,-0.055492632,0.5
27,5.710000038,20.55600014,-7.392918916,-0.129082711,-0.041071772,0.4999999999999999
28,5.75,20.7,-5.701477497,-0.099549607,-0.031674875,0.4999999999999999
29,6.099999905,21.95999966,-11.33022093,-0.197829254,-0.062945672,0.4999999999999999
