,Unnamed: 0,speed,kmh,yaw,rad,pirad,Fuzzy Value,Driver
58,58,8.699999809,31.31999931,-50.69117049,-0.885083929,-0.281617614,0.4540440238729519,Normal
59,59,8.859999657,31.89599877,-61.54184521,-1.074540154,-0.34189914,0.4350932497973669,Normal
60,60,8.539999962,30.74399986,-54.77911467,-0.956460732,-0.304328415,0.4735932246772415,Normal
61,61,8.550000191,30.78000069,-47.36037812,-0.826927237,-0.263113212,0.4723508342049806,Normal
62,62,8.43999958,30.38399849,-47.23913989,-0.824810379,-0.262439666,0.4861875970495495,Normal
63,63,8.539999962,30.74399986,-36.49688726,-0.637247238,-0.202760485,0.4735932246772415,Normal
64,64,8.829999924,31.78799973,-49.0597388,-0.856598614,-0.272554104,0.4386078346397749,Normal
65,65,9.170000076,33.01200027,-68.03833053,-1.187970851,-0.377990725,0.39954739134000977,Normal
66,66,9.100000381,32.76000137,-74.24784627,-1.296390967,-0.412488035,0.4074743267666573,Normal
67,67,9.340000153,33.62400055,-74.04691645,-1.292882668,-0.411371758,0.38044251645906,Normal
68,68,9.239999771,33.26399918,-71.92856396,-1.255895561,-0.399603133,0.3916601788014832,Normal
69,69,9.239999771,33.26399918,-75.08207003,-1.310956778,-0.417122611,0.3916601788014832,Normal
70,70,9,32.4,-66.28414258,-1.157342172,-0.368245237,0.4188872440167778,Normal
71,71,8.979999542,32.32799835,-69.13688776,-1.207152009,-0.384093821,0.4211846572181072,Normal
72,72,8.68999958,31.28399849,-81.47035741,-1.422498304,-0.452613097,0.4552467430797762,Normal
73,73,7.909999847,28.47599945,-78.28829057,-1.366938407,-0.434934948,0.4999999999999999,Normal
74,74,7.440000057,26.78400021,-104.9328007,-1.832160012,-0.582960004,0.4428213595652511,Normal
75,75,7.389999866,26.60399952,-83.9518769,-1.465826422,-0.466399316,0.4999999999999999,Normal
76,76,7.159999847,25.77599945,-89.17046402,-1.55694461,-0.495391467,0.4999999999999999,Normal
77,77,7.289999962,26.24399986,-83.40210218,-1.456227181,-0.463345012,0.4999999999999999,Normal
