speed,kmh,yaw,rad,pirad
3.269999981,11.77199993,-1.964396772,-0.034298991,-0.010913315
3.589999914,12.92399969,49.66945752,0.867244496,0.275941431
4.28000021,15.40800076,61.91111382,1.080987702,0.343950632
3.829999924,13.78799973,67.31541225,1.175348468,0.373974513
2.769999981,9.971999932,-8.283785318,-0.144637521,-0.04602103
3.039999962,10.94399986,-38.29482178,-0.668639745,-0.21274901
3.140000105,11.30400038,-60.23764686,-1.051768437,-0.334653594
3.769999981,13.57199993,-55.37855443,-0.966927141,-0.307658636
3.859999895,13.89599962,43.41191494,0.757985816,0.241177305
4.889999866,17.60399952,49.66945752,0.867244496,0.275941431
5.389999866,19.40399952,61.91111382,1.080987702,0.343950632
5.71999979,20.59199924,67.31541225,1.175348468,0.373974513
6.309999943,22.71599979,2.278430692,0.039782123,0.012657948
6.78000021,24.40800076,-11.08811103,-0.193601939,-0.061600617
6.949999809,25.01999931,-18.93637449,-0.33063511,-0.105202081
7.010000229,25.23600082,-1.915750881,-0.033449619,-0.01064306
7.269999981,26.17199993,-0.730465673,-0.012754163,-0.004058143
7.300000191,26.28000069,0.596615027,0.010417088,0.003314528
7.010000229,25.23600082,-6.808146617,-0.118872401,-0.037823037
7.150000095,25.74000034,-4.019137552,-0.070175418,-0.022328542
7.400000095,26.64000034,-58.12193303,-1.014827402,-0.322899628
7.510000229,27.03600082,2.817685387,0.049197681,0.015653808
7.690000057,27.68400021,-4.107816234,-0.071723776,-0.022821201
7.889999866,28.40399952,-10.81821442,-0.188889458,-0.060101191
8.130000114,29.26800041,-27.19178986,-0.474777283,-0.151065499
7.980000019,28.72800007,-36.21062991,-0.632249094,-0.201170166
7.989999771,28.76399918,-45.66135794,-0.797261805,-0.253674211
7.840000153,28.22400055,-43.42136044,-0.758150738,-0.24122978
7.360000134,26.49600048,-51.03863266,-0.891150729,-0.283547959
6.920000076,24.91200027,-32.93281181,-0.575017349,-0.182960066
6.320000172,22.75200062,-29.07635062,-0.507682312,-0.161535281
6.059999943,21.81599979,-53.06817996,-0.926587269,-0.294823222
