speed,kmh,yaw,rad,pirad
4.33E+00,15.58799973,258.936089,4.518954433,1.439157463
3.97E+00,14.2920001,260.9815284,4.554651455,1.450525941
3.43E+00,12.34800024,260.0649507,4.538655335,1.445431635
4.16E+00,14.97599945,248.8815034,4.343481735,1.383274438
4.34E+00,15.62400055,249.58059,4.355682199,1.387159936
4.89E+00,17.60399952,246.7582493,4.306426689,1.371473468
5.41E+00,19.47599945,249.5783507,4.355643119,1.38714749
5.68E+00,20.44799938,241.099088,4.207662967,1.340020053
5.70E+00,20.51999931,222.6476349,3.885648079,1.237467541
5.30E+00,19.08000069,211.6627189,3.693939248,1.176413773
4.83E+00,17.38799973,174.9947274,3.054009204,0.972614396
4.22E+00,15.19199924,132.4327453,2.311217195,0.736056432
4.24E+00,15.26399918,115.1452033,2.009514892,0.639972895
4.27E+00,15.37199993,138.3301549,2.414138829,0.768834022
4.60E+00,16.55999966,214.7576017,3.747951164,1.19361502
4.06E+00,14.61599979,211.5970028,3.69279237,1.176048525
3.97E+00,14.2920001,220.8407355,3.854114058,1.227424859
3.29E+00,11.84399986,214.643477,3.745959459,1.192980719
3.50E+00,12.6,221.436012,3.864502827,1.230733384
3.95E+00,14.22000017,220.383763,3.84613897,1.224885022
4.45E+00,16.01999931,224.7957549,3.923137084,1.249406715
4.58E+00,16.48799973,140.818469,2.457564904,0.782663982
4.75E+00,17.1,148.7333508,2.595695476,0.82665461
4.63E+00,16.66800041,132.325722,2.309349424,0.7354616
4.76E+00,17.13600082,129.1092208,2.253215023,0.717584402
4.98E+00,17.92800007,122.904518,2.144930506,0.683098887
5.32E+00,19.15200062,120.5261258,2.103422789,0.669879869
5.67E+00,20.41200027,111.3594312,1.943445571,0.61893171
5.50E+00,19.8,89.80058493,1.567200435,0.499108419
5.86E+00,21.09600048,85.77203232,1.496894107,0.476717868
6.11E+00,21.99600048,89.76502729,1.566579883,0.498910791
6.21E+00,22.35600014,88.94530771,1.552274131,0.494354819
6.25E+00,22.5,85.50709347,1.492270392,0.475245348
6.57E+00,23.65200062,81.22155061,1.417479068,0.451426455
6.97E+00,25.09199924,84.94191289,1.482406857,0.472104094
7.21E+00,25.95600014,79.37424008,1.385239792,0.441159169
7.48E+00,26.92800007,68.42439972,1.194143102,0.380300351
7.55E+00,27.18000069,64.85732724,1.131890528,0.36047469
7.88E+00,28.36800041,63.33132631,1.105258749,0.351993232
7.78E+00,28.00800076,58.3493578,1.0183134,0.32430363
7.51E+00,27.03600082,54.65073922,0.953765082,0.303746842
6.88E+00,24.76800041,56.60761265,0.987916451,0.314623074
6.95E+00,25.01999931,53.90657971,0.940778005,0.29961083
6.50E+00,23.4,38.34709967,0.669233851,0.2131318
6.05E+00,21.78000069,35.73281894,0.623609406,0.198601722
5.80E+00,20.88000069,30.01737057,0.523863361,0.166835465
5.47E+00,19.69199924,33.00839669,0.576062769,0.183459481
5.37E+00,19.33199959,31.13241002,0.543323037,0.173032814
4.17E+00,15.01200027,25.05756452,0.437304791,0.139269042
3.37E+00,12.13199959,21.23161149,0.370534232,0.118004532
3.45E+00,12.42000017,18.7409058,0.327066419,0.10416128
3.25E+00,11.7,15.58459334,0.271982432,0.086618609
2.65E+00,9.540000342,11.50647092,0.200811011,0.063952551
1.52E+00,5.471999932,7.905083251,0.137959568,0.043936168
4.50E-01,1.619999957,-8.648649836,-0.150936297,-0.048068884
2.49E+00,8.96,-11.32225032,-0.197595992,-0.06292866
2.56E+00,9.22,-8.925154389,-0.155761857,-0.049605687
2.63E+00,9.47,-11.55024136,-0.201574893,-0.064195826
2.64E+00,9.5,-19.26135751,-0.336149346,-0.107053932
2.70E+00,9.72,-19.31865724,-0.337149341,-0.107372402
2.71E+00,9.76,-22.22556668,-0.387880745,-0.1235289
2.75E+00,9.9,-13.91007654,-0.242758753,-0.077311705
2.78E+00,10,-17.89127089,-0.312238584,-0.09943904
2.79E+00,10,-31.57765798,-0.551093508,-0.175507486
2.81E+00,10.1,-5.543152333,-0.096739133,-0.030808641
2.84E+00,10.2,5.694508019,0.099380594,0.031649871
2.86E+00,10.3,-26.47710717,-0.462078659,-0.147158809
2.89E+00,10.4,-25.80303597,-0.450314764,-0.143412345
2.90E+00,10.4,-32.95811148,-0.575185192,-0.183179997
2.91E+00,10.5,-32.65431884,-0.5698834,-0.181491529
3.02E+00,10.9,-45.41901442,-0.792652957,-0.252437247
3.23E+00,11.6,-43.1386247,-0.752855579,-0.239762923
3.27E+00,11.8,-43.88859611,-0.765944086,-0.243931237
3.29E+00,11.8,-56.47589406,-0.985617697,-0.313890986
3.30E+00,11.9,-52.81848138,-0.921788506,-0.293563218
3.35E+00,12.1,-37.50085304,-0.654465149,-0.208428391
3.36E+00,12.1,-40.88546531,-0.713533426,-0.227239945
3.35E+00,12.1,-44.92994109,-0.784117646,-0.249718995
3.36E+00,12.1,-46.64591014,-0.814064749,-0.25925629
3.40E+00,12.2,-48.11535884,-0.839709578,-0.267423433
3.41E+00,12.3,-52.89340476,-0.923096069,-0.29397964
3.45E+00,12.4,-63.69661401,-1.111633752,-0.354023488
3.47E+00,12.5,-65.92025657,-1.150440778,-0.366382413
3.53E+00,12.7,-62.36997838,-1.088481298,-0.346650095
3.56E+00,12.8,-75.04606385,-1.30970443,-0.417103322
3.61E+00,13,-75.90514892,-1.324697189,-0.421878086
3.64E+00,13.1,-72.93697333,-1.272896568,-0.405381073
3.67E+00,13.2,-85.32656368,-1.489119785,-0.47424197
3.66E+00,13.2,30.67795599,0.535391902,0.170506975
3.72E+00,13.4,7.084324458,0.12363568,0.03937442
3.75E+00,13.5,-16.17332349,-0.282256954,-0.08989075
3.76E+00,13.5,-31.58613496,-0.551241448,-0.175554601
3.82E+00,13.8,-36.23986318,-0.632458345,-0.201419855
3.83E+00,13.8,-42.17093669,-0.735967482,-0.234384548
3.89E+00,14,-42.40954504,-0.740131676,-0.235710725
3.91E+00,14.1,-39.73162976,-0.69339668,-0.220826968
3.94E+00,14.2,-34.28617048,-0.598362487,-0.190561301
4.00E+00,14.4,16.2963351,0.284403754,0.090574444
4.02E+00,14.5,58.85138097,1.027074712,0.327093857
4.06E+00,14.6,56.03122932,0.977857405,0.311419556
4.06E+00,14.6,72.91166274,1.272454847,0.405240397
4.07E+00,14.7,44.95806682,0.784608496,0.249875317
4.07E+00,14.7,4.950806663,0.086401512,0.027516405
8.40E-01,3.023999906,-58.2442189,-1.016478515,-0.323719272
1.59E+00,5.724000119,109.0588447,1.903295719,0.606145133
2.19E+00,7.884000205,124.1369049,2.166438131,0.689948449
